source,target,value
"2093","2085","1"
"2083","2085","1"
"1674","2087","1"
"1681","2087","1"
"4270","2093","1"
"2083","2093","1"
"2453","2094","1"
"4335","2094","1"
"4281","2094","1"
"977","2094","1"
"2414","2094","1"
"1686","2097","1"
"870","2105","1"
"2285","2106","1"
"2229","2106","1"
"8131","2114","1"
"8131","2114","1"
"4799","2120","1"
"359","2121","1"
"2335","2122","1"
"1694","2122","1"
"2154","2122","1"
"396","2123","1"
"495","2128","1"
"2292","2132","1"
"761","2132","1"
"2279","2132","1"
"6596","2135","1"
"191","2135","1"
"2335","2137","1"
"646","2139","1"
"646","2139","1"
"2295","2142","1"
"2579","2146","1"
"2295","2149","1"
"2237","2149","1"
"2237","2151","1"
"6682","2151","1"
"4274","2153","1"
"2268","2159","1"
"2178","2159","1"
"2246","2161","1"
"2292","2168","1"
"4274","2175","1"
"4321","2176","1"
"2213","2176","1"
"75","2187","1"
"2467","2192","1"
"2295","2194","1"
"721","2194","1"
"359","2195","1"
"2435","2198","1"
"2490","2201","1"
"2201","2201","1"
"167","2201","1"
"192","2202","1"
"2206","2206","1"
"745","2211","1"
"2271","2213","1"
"2226","2217","1"
"2295","2221","1"
"649","2226","1"
"167","2226","1"
"2342","2228","1"
"9959","2229","1"
"2576","2232","1"
"8647","2240","1"
"2335","2242","1"
"760","2243","1"
"2503","2243","1"
"1585","2243","1"
"711","2245","1"
"2321","2247","1"
"740","2247","1"
"745","2254","1"
"1943","2256","1"
"2365","2256","1"
"8087","2258","1"
"4328","2261","1"
"2813","2262","1"
"2393","2262","1"
"4334","2265","1"
"2533","2267","1"
"4334","2268","1"
"151","2268","1"
"789","2269","1"
"2345","2269","1"
"4334","2274","1"
"2295","2274","1"
"2276","2276","1"
"2400","2278","1"
"2278","2278","1"
"2354","2279","1"
"2345","2281","1"
"2741","2285","1"
"2453","2287","1"
"2424","2287","1"
"2499","2287","1"
"4330","2290","1"
"2499","2290","1"
"2437","2290","1"
"479","2290","1"
"728","2290","1"
"2430","2291","1"
"2292","2292","1"
"761","2292","1"
"1585","2292","1"
"2740","2295","1"
"753","2296","1"
"8647","2298","1"
"2435","2298","1"
"810","2299","1"
"977","2303","1"
"1923","2305","1"
"667","2305","1"
"2305","2305","1"
"1683","2305","1"
"2340","2307","1"
"2307","2307","1"
"748","2307","1"
"4334","2311","1"
"4334","2312","1"
"1103","2312","1"
"2424","2318","1"
"2321","2321","1"
"2497","2321","1"
"4334","2324","1"
"2400","2325","1"
"6795","2325","1"
"191","2331","1"
"8087","2333","1"
"4335","2334","1"
"811","2336","1"
"721","2338","1"
"146","2340","1"
"142","2340","1"
"2376","2340","1"
"800","2340","1"
"2341","2342","1"
"1959","2345","1"
"2503","2356","1"
"4338","2356","1"
"4338","2357","1"
"2376","2357","1"
"1938","2363","1"
"2364","2364","1"
"2520","2364","1"
"2424","2365","1"
"2393","2365","1"
"332","2365","1"
"1544","2370","1"
"1585","2374","1"
"2504","2375","1"
"1683","2375","1"
"2411","2377","1"
"2499","2378","1"
"2424","2381","1"
"2495","2381","1"
"2503","2382","1"
"822","2384","1"
"1554","2387","1"
"2387","2387","1"
"741","2391","1"
"2576","2393","1"
"2438","2395","1"
"6783","2400","1"
"2400","2400","1"
"760","2408","1"
"2518","2408","1"
"2453","2414","1"
"2807","2421","1"
"2558","2421","1"
"191","2428","1"
"4244","2430","1"
"2522","2436","1"
"742","2438","1"
"736","2456","1"
"980","2456","1"
"2498","2463","1"
"787","2463","1"
"489","2466","1"
"2546","2466","1"
"2576","2469","1"
"2508","2476","1"
"2558","2493","1"
"812","2493","1"
"8087","2493","1"
"495","2500","1"
"757","2503","1"
"505","2518","1"
"8087","2522","1"
"272","2526","1"
"810","2536","1"
"2531","2549","1"
"1955","2557","1"
"2586","2557","1"
"2022","2585","1"
"1221","2807","1"
"5095","2807","1"
"9984","2807","1"
"1176","2819","1"
"9267","2914","1"
"4634","2877","1"
"4634","2879","1"
"1031","2891","1"
"263","2883","1"
"1031","2888","1"
"2887","2888","1"
"4654","2831","1"
"1031","2889","1"
"4654","2889","1"
"263","2889","1"
"4643","2890","1"
"74","2832","1"
"8259","2832","1"
"4260","2867","1"
"4950","2868","1"
"4166","2868","1"
"1134","2900","1"
"2952","2952","1"
"4898","2958","1"
"1612","2958","1"
"1683","2958","1"
"1254","2960","1"
"4977","2962","1"
"1254","2964","1"
"4900","2966","1"
"2948","2966","1"
"2969","2970","1"
"1608","2976","1"
"4955","2977","1"
"3044","2979","1"
"2739","2979","1"
"327","2979","1"
"646","2979","1"
"8129","2997","1"
"4912","3017","1"
"4933","3025","1"
"729","3033","1"
"2733","851","1"
"216","3042","1"
"2739","3043","1"
"4950","3043","1"
"2948","3045","1"
"1556","3057","1"
"8129","3058","1"
"9978","3065","1"
"9073","3067","1"
"1287","3074","1"
"1599","3080","1"
"352","3083","1"
"554","3083","1"
"3019","3092","1"
"4814","3097","1"
"8144","3097","1"
"5106","3109","1"
"5106","3112","1"
"3117","3116","1"
"8587","3120","1"
"5137","3121","1"
"5138","3121","1"
"2942","3130","1"
"3052","3130","1"
"4171","3134","1"
"8144","3138","1"
"3134","3144","1"
"1635","3144","1"
"710","3146","1"
"4898","3146","1"
"6759","3170","1"
"3102","3154","1"
"1626","3154","1"
"5266","3155","1"
"977","3156","1"
"1578","3160","1"
"2741","3160","1"
"312","3172","1"
"356","3172","1"
"1280","3180","1"
"1554","3181","1"
"9953","3181","1"
"4434","3190","1"
"671","3193","1"
"2393","3204","1"
"2435","3204","1"
"1265","3213","1"
"4898","3218","1"
"487","3219","1"
"4456","3228","1"
"3230","3231","1"
"967","3239","1"
"338","3239","1"
"358","357","1"
"1578","3257","1"
"1092","3260","1"
"888","3260","1"
"5382","3263","1"
"5295","3267","1"
"5382","3269","1"
"2641","3270","1"
"8144","3270","1"
"5038","3273","1"
"1356","3276","1"
"8259","3287","1"
"4476","3287","1"
"8449","3298","1"
"3309","3309","1"
"2368","2737","1"
"8204","3328","1"
"8207","3328","1"
"1050","3337","1"
"2041","3338","1"
"1741","3358","1"
"1839","3362","1"
"593","3363","1"
"2493","3366","1"
"729","3366","1"
"4912","3460","1"
"4946","3406","1"
"8144","3421","1"
"2105","3441","1"
"2325","3481","1"
"5761","3378","1"
"5772","3378","1"
"1800","3378","1"
"2105","3382","1"
"5907","3383","1"
"2739","3570","1"
"4174","3570","1"
"6368","3590","1"
"8144","3596","1"
"5563","3491","1"
"4274","3494","1"
"8537","3504","1"
"5968","3504","1"
"2292","3509","1"
"2227","3509","1"
"2159","3509","1"
"1686","3512","1"
"6116","3518","1"
"5772","853","1"
"1800","853","1"
"1792","853","1"
"2303","3543","1"
"8412","3544","1"
"6785","3552","1"
"3239","3604","1"
"1647","3605","1"
"1747","3605","1"
"8537","3605","1"
"6408","3605","1"
"3570","3609","1"
"4174","3609","1"
"344","3620","1"
"1095","3625","1"
"2059","3625","1"
"172","3625","1"
"6352","3641","1"
"8139","3642","1"
"5013","3642","1"
"5709","3642","1"
"5497","3642","1"
"8274","3642","1"
"7116","3642","1"
"5720","3654","1"
"6709","3671","1"
"3728","3671","1"
"7132","3689","1"
"2237","3694","1"
"6152","3695","1"
"2241","3695","1"
"4235","3695","1"
"6152","3701","1"
"2393","3707","1"
"4330","3709","1"
"2306","3709","1"
"736","3722","1"
"805","3726","1"
"2437","3728","1"
"692","3728","1"
"4914","3737","1"
"6692","3740","1"
"1602","4171","1"
"4920","4185","1"
"4185","4185","1"
"4814","4173","1"
"1687","4173","1"
"9984","4175","1"
"1578","4178","1"
"5037","4178","1"
"940","4178","1"
"4468","4187","1"
"4825","4187","1"
"4190","4190","1"
"1737","4258","1"
"2226","4259","1"
"2561","4259","1"
"2215","4259","1"
"2348","4259","1"
"810","4202","1"
"742","4202","1"
"2335","4274","1"
"9959","4274","1"
"4271","4275","1"
"416","4203","1"
"2185","4204","1"
"672","4204","1"
"2579","4204","1"
"373","4207","1"
"2198","4207","1"
"126","4207","1"
"2149","4208","1"
"2453","4215","1"
"2424","4215","1"
"8131","4215","1"
"185","4215","1"
"2253","4215","1"
"122","4215","1"
"2230","4215","1"
"1933","4215","1"
"8087","4215","1"
"359","4215","1"
"2522","4215","1"
"729","4215","1"
"586","4218","1"
"1831","4220","1"
"2406","4225","1"
"2268","4225","1"
"2151","4225","1"
"2237","4225","1"
"2241","4226","1"
"4228","4228","1"
